epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.5276,1.232,3.26645,1.51078,0.28228,0.52489,0.39438,0.19781,1.50198,2.22519,1.82144,0.000151424,0.000151424,0.000151424
2,147.738,1.16116,2.1989,1.42391,0.49363,0.62094,0.58505,0.3247,1.4665,1.64047,1.67642,0.000243079,0.000243079,0.000243079
3,215.576,1.08666,1.83482,1.35962,0.59026,0.7244,0.70954,0.42366,1.36404,1.50167,1.53915,0.000274674,0.000274674,0.000274674
4,283.41,1.01166,1.57918,1.31304,0.83502,0.66493,0.76594,0.47359,1.32984,1.36198,1.51193,0.00018473,0.00018473,0.00018473
5,351.798,0.94522,1.39841,1.26158,0.68408,0.80176,0.80453,0.52541,1.2305,1.18685,1.43713,9.464e-05,9.464e-05,9.464e-05
